,Features,Importance
86,SP-1,0.034688786799421945
500,WPATH,0.025758616444664616
103,ECCEN,0.025583325534066184
87,SP-2,0.022897622024775785
458,MLFER_L,0.02145674905580306
42,nBonds,0.02042363209283528
426,Kier1,0.020213773572710477
494,MW,0.018172503066692203
405,ETA_Eta_R,0.01788982148600838
439,MDEC-23,0.01559291539605986
374,ETA_Alpha,0.01514535061878824
493,VAdjMat,0.015041210303168285
495,WTPT-1,0.015028834161853166
395,ETA_Beta_s,0.013447244832243606
393,ETA_Beta,0.012589520200262279
428,Kier3,0.012244897827358247
26,ATSm2,0.011609577667575071
8,nHeavyAtom,0.011274698299901768
223,SaaO,0.011251081903822497
85,SP-0,0.010961371676520995
362,sumI,0.010855989550854093
94,VP-1,0.01075613296146911
433,McGowan_Volume,0.010465032446452732
427,Kier2,0.010312670077798299
289,minaaO,0.010196561438131278
355,maxaaO,0.009986520302735226
410,ETA_Eta_R_L,0.009435934534896906
102,CrippenMR,0.0082579176618934
30,ATSp1,0.00815528598890105
3,AMR,0.00795688163017159
