SMILES,MDEC-23,nC,C1SP2,minHsOH,minsOH,nHBAcc,maxssO,ATSc3,minHBint5,BCUTc-1h,MDEO-12,minsssN,MLFER_A,MDEC-33,VC-5,ETA_Shape_Y,minHBint10,SHsOH,SHBint10,ALogP,pIC50
Oc1ccc(cc1)C2=Cc3cc(O)ccc3C24Cc5ccccc5C4,33.30823771,23,0,0.480937736,9.655749374,0,0,-0.026364058,0,0.110841,0,0,1.089,8.333483,0.26401,0.32877,4.643814,1.012352,9.921873,2.9208,8.367
Oc1ccc(cc1)C2=Cc3cc(O)ccc3C24C(=O)c5ccccc5C4=O,34.1117722,23,0,0.498954318,9.625849682,2,0,-0.071584012,0,0.187353,0,0,1.089,14.81937,0.283208,0.38961,4.802859,1.044354,10.19907,1.4808,7.041
Oc1cccc(c1)C2=Cc3cc(O)ccc3C24Cc5ccccc5C4,33.19754135,23,0,0.473131614,9.932875304,0,0,-0.0268895,0,0.110844,0,0,1.089,8.791976,0.26401,0.32877,0,0.954069,0,2.9208,7.456
CC(C)(C)[C@H]1Sc2cc(O)ccc2O[C@H]1c3ccc(OCCN4CCCCC4)cc3,18.61914087,25,0,0.47819193,9.906412644,1,6.507106677,-0.126399734,3.111646,0.185425,0.26968,2.503969,0.546,6.900972,0.718386,0.26471,0,0.478192,0,1.6411,7.959
CC(C)C[C@H]1Sc2cc(O)ccc2O[C@H]1c3ccc(OCCN4CCCCC4)cc3,22.69869352,25,0,0.484750572,9.885492702,1,6.481481677,-0.126503928,3.141902,0.185424,0.26968,2.506532,0.546,8.52991,0.123273,0.29864,0,0.484751,0,0.9134,8.523
CC(C)[C@H]1Sc2cc(O)ccc2O[C@H]1c3ccc(OCCN4CCCCC4)cc3,20.50767624,24,0,0.49381693,9.842211964,1,6.441898344,-0.126448558,3.181118,0.185413,0.26968,2.50328,0.546,9.238227,0.348162,0.30913,0,0.493817,0,0.6578,8.155
Oc1cccc(c1)C2=Cc3cc(O)ccc3C24C(=O)c5ccccc5C4=O,33.7999109,23,0,0.491148195,9.894822583,2,0,-0.071502229,0,0.18737,0,0,1.089,15.44621,0.283208,0.38961,0,0.990103,0,1.4808,6.437
C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O,23.17814628,18,0,0.257051918,9.677186713,1,0,-0.025023443,0,0.084926,0,0,0.891,7.76201,0.518276,0.36207,2.487539,0.756822,7.671398,0.4395,8.886
CN(CCCc1ccc(Cl)cc1)c2nc(NCCc3ccc(O)cc3)nc(n2)N4CCNCC4,21.69941623,25,0,0.567718036,9.479514966,7,0,0.475850512,0,0.210918,0,2.125855,0.751,3.392521,0.053983,0.26304,0,0.567718,0,0.1895,6.959
CN(CCCc1ccc(F)cc1)c2nc(NCCc3ccc(O)cc3)nc(n2)N4CCNCC4,21.69941623,25,0,0.571529764,9.462879164,7,0,0.46841307,0,0.210911,0,2.043703,0.751,3.392521,0.053983,0.27012,0,0.57153,0,-0.2694,6.62
CC\C(=C(/c1ccccc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,29.44780595,26,0,0,0,1,5.8709882,-0.051799041,0,0.076118,0,2.123016,0.003,6.534047,0.093227,0.24757,0,0,0,3.647,6.301
Oc1ccc(cc1)C2=COc3cc(O)ccc3C2=O,19.28856206,15,1,0.618776969,9.245833117,1,5.366593207,-0.026312887,0,0.198066,0.62237,0,1.292,7.271606,0.070529,0.39623,0,1.241885,0,0.1759,5.201
Cc1cc(O)c2C(=O)c3c(O)cc(O)cc3C(=O)c2c1,14.63077315,15,0,0.508155116,9.457360481,2,0,0.03158244,6.289361,0.199703,0,0,0.796,18.46432,0.123338,0.54546,0,1.630773,0,0.2539,5.569
Oc1ccc2C(=O)c3cc(O)ccc3C(=O)c2c1,18.33439801,14,0,0.599154148,9.380842992,2,0,7.42E-05,7.292949,0.195891,0,0,1.089,11.90562,0.100592,0.48,0,1.198308,0,0.3706,5.959
Oc1ccc2C(N(CCc2c1)c3ccccc3)c4cccs4,23.69131944,19,1,0.501404875,9.79550628,1,0,-0.029732423,0,0.116083,0,2.53758,0.546,6.163606,0.151549,0.30723,0,0.501405,0,2.1941,7.301
Oc1ccc2C(N(CCc2c1)C(=O)C(F)(F)F)c3ccccc3,20.16244096,17,1,0.545583546,9.588856607,2,0,-0.192339888,0,0.484708,0,0.855867,0.546,6.163606,0.135188,0.32618,0,0.545584,0,2.337,6.629
Oc1ccc2C(N(CCc2c1)C(=O)C(F)(F)F)c3cccs3,17.17995505,15,2,0.546862481,9.569979293,2,0,-0.205358896,0,0.484706,0,0.940358,0.546,6.163606,0.159315,0.33148,0,0.546862,0,1.6876,6.415
CCC(=C(c1ccc(O)cc1)c2ccc(OCCN(C)C)cc2)c3ccccc3,31.31111941,26,0,0.517473928,9.743624367,1,5.853660377,-0.061258906,0,0.077118,0.1,2.10458,0.546,7.352074,0.093227,0.27725,3.029117,0.517474,3.029117,3.0839,7.77
CCC1Oc2cc(O)cc(C)c2N=C1c3ccc(O)c(Br)c3,17.27513324,17,0,0.520939983,9.729363719,1,6.045689012,-0.144229885,0,0.108302,0.377964,0,0.979,11.51863,0.158794,0.40059,0,1.056879,0,0.837,6.745
Oc1ccc2C3=Nc4ccc(O)cc4OC3CCc2c1,21.23332492,16,0,0.556526403,9.516338125,1,5.950482096,-0.127719967,0,0.192222,0.377964,0,1.089,9.321518,0.081945,0.42553,0,1.141113,0,-0.2466,5.222
C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CCC2=O,23.17814628,18,0,0.504336209,9.665588917,1,0,-0.039348325,0,0.138959,0,0,0.546,7.76201,0.470352,0.36207,6.184147,0.504336,6.184147,1.0092,6.678
