SP-1,WPATH,ECCEN,SP-2,MLFER_L,nBonds,Kier1,MW,ETA_Eta_R,MDEC-23,ETA_Alpha,VAdjMat,WTPT-1,ETA_Beta_s,ETA_Beta,Kier3,ATSm2,nHeavyAtom,SaaO,SP-0,sumI,VP-1,McGowan_Volume,Kier2,minaaO
20.73384647,7421,1554,19.47492275,21.203,48,32.921875,598.1661389,92.16077,44.46643496,20.49997,6.426264755,88.70852239,27,58.75,7.605251245,60.32781135,43,0,30.13925295,102.1574074,14.03436766,4.2787,14.40857143,0
14.11419354,2217,667,12.65245448,15.139,32,22.203125,384.1361591,53.64376,37.91774826,13.83332,5.857980995,59.88384878,17.25,40.25,5.626634958,33.66045989,29,0,20.2169677,68.5,9.378458693,2.9155,10.54338843,0
15.04604519,2661,719,13.45532366,15.949,34,24.1349481,414.1467238,59.55851,39.27574584,14.66665,5.95419631,63.76253133,18.75,42.25,6.118626431,36.32464384,31,0,21.79431797,73.66666667,9.901514731,3.1151,11.42145767,0
14.50804039,2424,692,13.28622168,15.121,33,23.16804408,402.1267373,56.98032,39.27574584,14.11903,5.906890596,61.73415881,18,41.5,5.88,35.242245,30,0,21.08721119,76.16666667,9.478124532,2.9332,10.74480151,0
14.50804039,2424,692,13.28622168,16.02,33,23.16804408,418.1038937,56.98032,39.27574584,14.61903,5.906890596,61.73415881,17.5,41,5.88,37.91763145,30,0,21.08721119,73.31481481,10.46372309,3.038,10.74480151,0
14.50804039,2424,692,13.28622168,15.139,33,23.16804408,400.1474728,56.98032,39.27574584,14.2857,5.906890596,61.73415881,17.75,41.25,5.88,34.91015302,30,0,21.08721119,72.16666667,9.754517734,3.0154,10.74480151,0
16.16983643,3293,904,14.39641067,16.668,37,24.68371074,434.1682082,62.87889,43.56823859,15.95237,6.044394119,68.78817288,19.5,47.5,6.228373702,38.57806104,33,0,22.6227451,73.16666667,10.96107719,3.3257,11.82314494,0
17.08052004,3957,1020,15.26774881,17.787,39,26.60092045,462.1631228,68.7464,45.92937226,16.7857,6.129283017,72.60315572,20.75,50.25,6.716049383,40.91015302,35,0,24.20009537,81.83333333,11.41520134,3.4823,12.69753086,0
15.50804039,3065,848,13.99332846,16.059,35,25.10367347,428.1423874,61.39633,40.3836239,15.11903,6,65.73781289,19,44,6.789802289,37.242245,32,0,22.50142475,80.16666667,10.1447912,3.172,12.109375,0
16.4947336,3614,904,14.44623495,17.461,37,27.04601899,457.205322,67.76013,40.61732024,16.1857,6.087462841,69.55964686,20.5,44,6.865051903,39.40869882,34,0,24.07877502,79.16666667,11.52479363,3.5379,12.99192618,0
16.58052004,3609,936,14.91419542,17.214,38,25.64127424,455.1896719,66.10056,41.64756087,16.1857,6.087462841,70.49029005,21,44.5,6.297163261,40.40869882,34,0,23.49298858,78.16666667,11.61058006,3.4293,12.02990388,0
17.97789685,4935,1175,15.61097219,19.089,40,29.97,500.2475211,74.45095,40.46268804,17.5857,6.209453366,75.55901205,22.5,46,8.493061224,42.74106269,37,0,26.20009537,84.66666667,12.72096799,3.9195,15.12345679,0
