SMILES,Caco-2,SP-1,WPATH,ECCEN,SP-2,MLFER_L,nBonds,Kier1,MW,ETA_Eta_R,MDEC-23,ETA_Alpha,VAdjMat,WTPT-1,ETA_Beta_s,ETA_Beta,Kier3,ATSm2,nHeavyAtom,SaaO,SP-0,sumI,VP-1,McGowan_Volume,Kier2,minaaO
Oc1ccc2O[C@H]([C@H](Sc2c1)C3CCCC3)c4ccc(OCCN5CCCCC5)cc4,0,15.25915283,3011,912,13.49777911,16.311,35,22.7755102,439.2181149,55.2814,28.27793195,15.23332,5.95419631,64.77168028,19.5,32.5,5.7421875,40.49857609,31,0,21.04539483,58.48148148,12.75563446,3.4104,10.95052083,0
Oc1ccc2O[C@H]([C@H](Sc2c1)C3CCCCCC3)c4ccc(OCCN5CCCCC5)cc4,0,16.25915283,3516,976,14.20488589,17.309,37,24.68371074,467.249415,60.95013,31.07674804,16.23332,6.044394119,68.96002385,20.5,33.5,6.611570248,42.49857609,33,0,22.45960839,61.48148148,13.75563446,3.6922,12.3008,0
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(OCCN5CCCCC5)cc4,0,16.15299968,3542,977,14.47319431,17.662,37,24.68371074,463.1817294,61.25558,30.90106359,16.06665,6.044394119,68.74892346,20.75,40.25,6.41568278,42.83066807,33,0,22.6227451,68.48148148,12.43945368,3.481,11.82314494,0
Oc1ccc2O[C@H]([C@@H](CC3CCCCC3)Sc2c1)c4ccc(OCCN5CCCCC5)cc4,0,16.24231608,3594,983,14.28920555,17.309,37,24.68371074,467.249415,60.23884,30.57000115,16.23332,6.044394119,68.88369563,20.5,33.5,6.816568047,42.49857609,33,0,22.45960839,61.48148148,13.7387977,3.6922,12.3008,0
Oc1ccc2O[C@H]([C@@H](Cc3ccccc3)Sc2c1)c4ccc(OCCN5CCCCC5)cc4,0,16.24231608,3594,983,14.28920555,17.334,37,24.68371074,461.2024649,60.23884,30.57000115,16.23332,6.044394119,68.88369563,20.5,39.5,6.816568047,42.49857609,33,0,22.45960839,64.31481481,12.77828983,3.5632,12.3008,0
Oc1ccc2O[C@H]([C@H](Sc2c1)c3ccncc3)c4ccc(OCCN5CCCCC5)cc4,0,15.75915283,3262,944,13.8513325,16.94,36,23.72839506,448.1820638,58.03243,28.27793195,15.63332,6,66.89029821,20.5,39.5,6.177514793,41.83093996,32,0,21.75250161,63.81481481,12.15489439,3.3812,11.62015827,0
Oc1ccc(cc1)C2=Cc3cc(O)ccc3C24Cc5ccc(OCCN6CCCCC6)cc5C4,0,16.6041234,3599,1001,15.4225325,17.943,39,24.34319527,453.2303939,65.1575,37.80371943,16.39999,6.087462841,71.45320646,21.25,42.25,4.96,40.82691371,34,0,23.1227451,69.25,12.42769495,3.5299,10.40073869,0
Oc1ccc2O[C@H]([C@H](Sc2c1)c3occc3)c4ccc(OCCN5CCCCC5)cc4,0,15.25915283,3011,912,13.49777911,15.954,35,22.7755102,437.1660793,55.2814,26.10306475,15.06665,5.95419631,64.77168028,20,38,5.7421875,41.16276005,31,0,21.04539483,62.31481481,11.78964788,3.2422,10.95052083,0
Oc1ccc(cc1)C2=Cc3cc(O)ccc3C24Cc5ccccc5C4,0,12.15463366,1324,447,11.59297211,13.535,29,17.12247325,326.1306798,43.85667,33.30823771,12.16666,5.64385619,52.66417885,15,35.5,2.8359375,29.66418395,25,0,17.01829709,53.58333333,8.575528773,2.4937,6.55785124,0
Oc1ccc(cc1)C2=Cc3cc(O)ccc3C24C(=O)c5ccccc5C4=O,0,13.02974777,1546,477,12.33646076,14.775,31,18.99271592,354.0892089,51.65796,34.1117722,12.83332,5.754887502,56.35144234,16.5,40,2.734842951,32.32836791,27,0,18.75878407,67.91666667,8.569563501,2.5251,7.052951389,0
Oc1ccc(cc1)C2=Cc3cc(O)ccc3C24C(=O)c5ccc(OCCN6CCCCC6)cc5C4=O,0,17.47923751,3980,1045,16.16602114,19.183,41,26.2343843,481.188923,74.18285,39.24701782,17.06665,6.169925001,75.13720161,22.75,46.75,4.70962963,43.49109766,36,0,24.86323207,83.58333333,12.42172968,3.5613,10.87342112,0
Oc1cccc(c1)C2=Cc3cc(O)ccc3C24Cc5ccccc5C4,1,12.15463366,1306,407,11.6048775,13.535,29,17.12247325,326.1306798,44.04539,33.19754135,12.16666,5.64385619,52.66351447,15,35.5,2.8359375,29.66418395,25,0,17.01829709,53.58333333,8.575528773,2.4937,6.55785124,0
CC(C)(C)[C@H]1Sc2cc(O)ccc2O[C@H]1c3ccc(OCCN4CCCCC4)cc3,1,14.39799805,2766,851,13.76190627,15.272,33,23.16804408,427.2181149,55.78216,18.61914087,14.73332,5.906890596,61.57221565,18.5,31.5,6.081011204,38.49857609,30,0,21.13961743,58.39814815,11.89447968,3.3781,10.29244002,0
Oc1ccc2O[C@H]([C@H](Sc2c1)C3CCCCC3)c4ccc(OCCN5CCCCC5)cc4,0,15.75915283,3262,944,13.8513325,16.81,36,23.72839506,453.233765,58.03243,29.67689373,15.73332,6,66.89029821,20,33,6.177514793,41.49857609,32,0,21.75250161,59.98148148,13.25563446,3.5513,11.62015827,0
Oc1ccc2O[C@H]([C@H](Sc2c1)c3cccnc3)c4ccc(OCCN5CCCCC5)cc4,0,15.75915283,3262,944,13.8513325,16.94,36,23.72839506,448.1820638,58.03243,27.94869777,15.63332,6,66.89029821,20.5,39.5,6.177514793,41.83093996,32,0,21.75250161,63.81481481,12.15489439,3.3812,11.62015827,0
CC(C)C[C@H]1Sc2cc(O)ccc2O[C@H]1c3ccc(OCCN4CCCCC4)cc3,1,14.58052004,2818,855,13.17901656,15.456,33,23.16804408,427.2181149,54.01775,22.69869352,14.73332,5.906890596,61.81544784,18.5,31.5,6.515235457,38.49857609,30,0,20.92407448,57.98148148,12.07700166,3.3781,11.22765432,0
Oc1ccc(C[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(OCCN5CCCCC5)cc4)cc1,0,16.63616293,3905,1044,14.91106736,18.161,38,25.64127424,477.1973795,63.4132,31.99630392,16.56665,6.087462841,70.74193528,21.25,40.75,7.071508131,43.83066807,34,0,23.32985188,69.98148148,12.91258023,3.6219,12.49704142,0
CC(C)[C@H]1Sc2cc(O)ccc2O[C@H]1c3ccc(OCCN4CCCCC4)cc3,1,14.09735679,2574,824,12.69725934,14.957,32,22.203125,413.2024649,51.68559,20.50767624,14.23332,5.857980995,59.80075518,18,31,5.825792552,37.49857609,29,0,20.2169677,56.48148148,11.59383841,3.2372,10.54338843,0
Oc1cccc(c1)C2=Cc3cc(O)ccc3C24C(=O)c5ccccc5C4=O,0,13.02974777,1526,433,12.34836614,14.775,31,18.99271592,354.0892089,51.87115,33.7999109,12.83332,5.754887502,56.35078524,16.5,40,2.734842951,32.32836791,27,0,18.75878407,67.91666667,8.569563501,2.5251,7.052951389,0
Oc1ccc2O[C@H]([C@H](Sc2c1)c3cccs3)c4ccc(OCCN5CCCCC5)cc4,0,15.25915283,3011,912,13.49777911,16.745,35,22.7755102,453.1432357,55.2814,26.10306475,15.56665,5.95419631,64.77168028,19.5,37.5,5.7421875,43.8381465,31,0,21.04539483,59.46296296,12.6693007,3.347,10.95052083,0
Oc1ccc2O[C@H]([C@@H](CC3CCCC3)Sc2c1)c4ccc(OCCN5CCCCC5)cc4,0,15.74231608,3313,949,13.93565216,16.81,36,23.72839506,453.233765,57.54791,29.37385862,15.73332,6,66.76762114,20,33,6.372070313,41.49857609,32,0,21.75250161,59.98148148,13.2387977,3.5513,11.62015827,0
Oc1ccc(cc1)c2sc3cc(O)ccc3c2C(=O)c4ccc(OCCN5CCCCC5)cc4,0,16.58052004,3843,1047,14.91387942,18.949,38,25.64127424,473.1660793,64.83602,33.68594064,16.56665,6.087462841,70.49496579,21,45,6.297163261,43.49857609,34,0,23.49298858,74.31481481,12.44833347,3.5359,12.02990388,0
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(COCCN5CCCCC5)cc4,0,16.65299968,3960,1066,14.8267477,18.161,38,25.64127424,477.1973795,63.40576,31.28525518,16.56665,6.087462841,70.74838132,21.25,40.25,6.865051903,43.83066807,34,0,23.32985188,69.98148148,12.87755806,3.6219,12.49704142,0
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(cc4)C5=CCNCC5,0,14.66983643,2482,730,13.33039915,16.567,34,21.82525952,417.1398646,54.85977,35.31404006,14.73332,5.906890596,62.75651348,18.5,39,5.010177515,39.00030218,30,0,20.50142475,63.14814815,11.0055547,3.0975,9.868055556,0
CN1CCN(CC1)c2ccc(cc2)[C@@H]3Oc4ccc(O)cc4S[C@@H]3c5ccc(O)cc5,0,15.06368328,2756,803,13.95226097,16.995,35,22.7755102,434.1664137,57.86398,31.38531863,15.13332,5.95419631,64.61487412,20,39,5.23947427,40.66502992,31,0,21.37166824,64.48148148,11.43370256,3.2403,10.092,0
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2CCCN4CCCCC4,0,13.18667319,1934,605,11.78861376,14.677,30,20.28,385.1711647,46.73401,23.4401063,13.23332,5.754887502,55.9507809,16.75,29.75,5.331434674,35.16648412,27,0,18.63961743,55.14814815,10.74486035,2.9554,9.666864961,0
