SP-4,VP-7,SP-3,VP-3,WTPT-1,ATSp3,SP-1,ETA_Eta_L,nBondsS,VP-2,SP-7,SP-2,VP-1,ETA_Beta_s,CrippenMR,VP-5,VP-0,ATSp2,ETA_Alpha,ATSp1
13.7498,1.80986,16.264,8.05423,88.7085,6121.23,20.7338,9.04203,62,10.8037,6.49761,19.4749,14.0344,27,156.546,4.39876,23.71,4127.46,20.5,3412.96
8.62118,1.00298,10.323,4.90129,59.8838,3726.29,14.1142,5.79189,40,6.78863,4.07343,12.6525,9.37846,17.25,114.016,2.63589,15.708,2637.61,13.8333,2216.8
9.11379,1.08999,11.0823,5.20301,63.7625,3960.88,15.046,6.2391,44,7.15456,4.50514,13.4553,9.90151,18.75,120.568,2.75095,17.0389,2785.56,14.6667,2337.91
8.88049,1.01604,10.6586,4.95789,61.7342,3785.5,14.508,5.93127,40,6.93295,4.26711,13.2862,9.47812,18,113.974,2.65727,16.0087,2662.56,14.119,2230.58
8.88049,1.63382,10.6586,6.0149,61.7342,4343.46,14.508,6.5144,40,8.0697,4.26711,13.2862,10.4637,17.5,119.203,3.6518,16.8252,3051.27,14.619,2553.58
8.88049,1.0314,10.6586,5.05002,61.7342,3830.92,14.508,6.0834,42,7.20536,4.26711,13.2862,9.75452,17.75,117.019,2.71046,16.5614,2701.12,14.2857,2269.86
10.2587,1.13833,12.2142,5.80733,68.7882,4274.52,16.1698,6.5091,46,8.0054,4.72947,14.3964,10.9611,19.5,130.774,3.06237,18.0399,3041.5,15.9524,2561.46
10.749,1.14783,12.9911,6.02499,72.6032,4431.91,17.0805,6.81471,47,8.32499,4.85117,15.2677,11.4152,20.75,136.889,3.10886,18.9482,3153.81,16.7857,2656.62
9.29705,1.06139,11.1502,5.17811,65.7378,3932.48,15.508,6.33127,43,7.31785,4.50481,13.9933,10.1448,19,122.844,2.723,17.1634,2800.87,15.119,2365.94
10.1392,1.11204,12.3901,6.033,69.5596,4230.02,16.4947,7.6369,53,8.10524,4.55498,14.4462,11.5248,20.5,134.266,2.81538,19.4229,3017.5,16.1857,2557.49
10.5722,1.15783,12.7411,6.37562,70.4903,4346.35,16.5805,7.76642,52,8.6271,4.64998,14.9142,11.6106,21,132.152,3.05215,18.8371,3076.69,16.1857,2583.99
10.4279,1.1748,13.038,6.58837,75.559,4364.64,17.9779,8.66599,61,8.91262,4.80747,15.611,12.721,22.5,147.135,3.02575,21.3371,3164.26,17.5857,2709.04
10.749,1.1943,12.9911,6.38655,72.6032,4426.19,17.0805,7.82519,54,8.67,4.85117,15.2677,11.8177,22,135.788,3.30917,19.3371,3148.97,16.5857,2652.98
10.9006,1.21706,13.4018,6.77284,74.4609,4580.47,17.4744,8.0496,57,9.22327,4.8827,15.8896,12.1902,22.75,140.415,3.4952,20.2843,3249.76,17.0857,2739.61
12.933,1.55404,15.6241,7.89086,87.3875,5287.79,20.53,9.18634,65,10.6817,5.85662,18.3902,14.3235,26.25,163.881,4.15872,23.3782,3784.66,20.0857,3201.2
12.9884,1.58155,15.885,7.94835,87.2497,5419.48,20.4407,9.17735,65,10.7426,6.06928,18.5645,14.288,26.25,165.637,4.1249,23.5937,3845.15,20.0857,3240.89
10.9414,1.13252,13.0345,6.00801,74.604,4447.85,17.5637,6.97644,49,8.44999,4.87894,15.7373,11.6652,21.75,141.652,3.10955,19.4482,3182.49,17.1857,2690.73
8.88049,0.98655,10.6586,4.84547,61.7342,3654.1,14.508,6.02905,41,6.84616,4.26711,13.2862,9.41379,18.5,113.558,2.60099,15.9693,2560.68,13.9524,2140.4
8.43103,0.9488,10.0837,4.67561,55.8822,3507.17,13.1522,5.32103,36,6.37923,4.03161,11.7233,8.66409,16.25,103.532,2.50313,14.4841,2448.32,12.7857,2037.62
7.66776,0.74948,9.41397,4.55128,56.7969,3323.74,13.5797,5.61541,40,6.41359,3.05423,11.8195,9.1761,15.75,114.195,2.30339,15.67,2425.66,13.5,2080.25
9.29705,1.06047,11.1502,5.28687,65.7378,3781.69,15.508,7.00448,47,7.5095,4.50481,13.9933,10.4138,19.5,122.792,2.73079,17.3835,2681.29,14.9524,2258.88
9.11379,1.0605,11.0823,5.09059,63.7625,3829.07,15.046,6.33689,45,7.06777,4.50514,13.4553,9.83718,19.25,120.152,2.69467,16.9996,2683.47,14.5,2247.58
5.77616,0.85268,7.01036,5.16974,39.825,2924.05,9.63619,5.88451,40,6.50837,1.74715,8.17909,8.35778,10.75,88.414,2.7381,13.4645,2058.74,10.1667,1750.1
6.00471,1.03209,7.35,5.5573,41.7092,3174.33,10.03,6.23775,43,6.98291,1.9587,8.81285,8.76847,11.25,92.054,3.09685,14.3871,2207.7,10.6667,1870.25
7.02189,0.78902,8.67713,4.79985,49.568,3026.48,11.9787,7.08004,49,6.58953,2.48346,10.2337,9.14767,14.5,105.605,2.43666,15.686,2115.93,11.9,1800.5
7.68675,0.84378,9.17653,5.19959,51.4357,3367.72,12.4062,7.30769,52,6.96667,2.57333,10.6705,9.5421,15.25,109.527,2.65819,16.6332,2314.43,12.4,1952.95
9.98461,1.22596,11.8036,6.52004,65.5152,4342.55,15.5688,8.05746,58,8.76739,4.18061,13.5659,11.6554,18.75,133.885,3.50437,19.3192,2999.05,15.5667,2515.58
10.6839,0.86034,12.7047,6.20632,72.5515,3853.17,17.153,7.6178,53,8.75976,4.35972,15.1681,12.0881,22.75,144.553,2.64674,19.9874,2804.63,16.9143,2401.26
9.50442,0.80574,11.399,5.25061,67.6151,3728.21,15.9912,6.40657,49,8.13366,4.07669,14.4114,10.9419,21.25,138.824,2.3613,19.2508,2708.11,15.981,2325.75
10.9945,0.91199,13.1129,6.42903,74.5745,3948.98,17.691,7.91165,56,8.94139,4.62399,15.3372,12.4769,23.5,147.021,2.70778,20.9485,2876.21,17.4143,2465.61
8.66943,0.64,10.5448,5.1343,61.7828,2814.36,14.691,6.81491,48,7.43894,3.30948,12.8313,10.3936,20,120.701,2.03272,17.6391,2121.2,14.4143,1854.9
8.06731,0.58391,10.2248,4.83005,60.8493,2701.27,14.6052,6.6854,49,6.91707,3.19312,12.3633,10.3078,19.5,122.815,1.75431,18.2249,2062.7,14.4143,1827.99
7.48996,0.5272,9.23917,4.06661,56.8465,2529.11,13.5292,5.57568,43,6.69347,3.02645,12.0746,9.15553,18.5,113.581,1.65194,16.8106,1913.7,13.4143,1688.27
8.06731,0.6286,10.2248,4.93412,60.8493,2826.69,14.6052,6.7134,50,7.03999,3.19312,12.3633,10.3995,19.5,124.206,1.83277,18.3166,2153.76,14.481,1904.88
9.10258,0.70523,10.7915,5.24369,63.6,3129.18,15.0849,6.7525,48,7.74905,3.45374,13.4769,10.5502,20.75,128.712,2.13642,18.0237,2336.15,14.881,2031.18
19.5482,4.17756,24.2184,15.1293,131.487,8858.75,30.9627,20.2075,128,19.4979,8.37042,28.5649,23.4384,39.5,249.37,8.77649,39.1793,6178.37,30.5333,5215.64
19.3714,3.94669,23.9684,14.7389,129.487,8722.32,30.4627,19.5013,123,18.9605,8.31002,28.2113,22.7457,39,243.014,8.50549,38.3175,6055.88,30.0333,5097.88
11.2726,2.78122,13.9736,9.20562,74.4124,4900.19,17.3946,10.7589,66,11.0866,5.58142,16.0486,13.2541,21.25,139.48,5.44922,20.9781,3308.56,17.3333,2748.45
23.0989,2.46961,30.6502,15.972,197.256,9876.06,47.5063,28.2731,186,25.975,7.98997,43.3582,33.4176,63.75,369.598,6.61415,58.5933,7456.76,45.7666,6590.67
23.7177,2.82111,31.1846,16.3694,198.433,10168,47.5921,28.64,188,26.3468,8.52425,43.7724,33.7303,64.75,369.336,6.98582,58.4779,7676.57,45.7333,6773.4
24.1622,2.86969,31.4484,16.617,200.252,10423.8,47.986,29.0338,191,26.9996,8.58406,44.4133,34.1242,65.25,373.883,7.10616,59.3482,7840.52,46.2333,6907.29
24.1622,2.86969,31.4484,16.617,200.252,10424.1,47.986,29.0338,191,26.9996,8.58406,44.4133,34.1242,65.25,373.883,7.10616,59.3482,7840.71,46.2333,6907.43
23.306,2.71822,30.6931,16.0638,194.43,10013.4,46.5921,27.9458,182,25.8691,8.32435,43.0653,32.9345,63.25,358.614,6.83767,57.1791,7529.68,44.7666,6627.96
22.6805,2.42064,29.5224,15.4628,193.435,9284.16,46.581,28.1285,186,25.581,7.72142,42.4977,33.0253,63.25,362.44,6.32714,57.8042,7123.28,44.7333,6328.38
24.1622,2.86969,31.4484,16.617,200.252,10423.8,47.986,29.0338,191,26.9996,8.58406,44.4133,34.1242,65.25,373.883,7.10616,59.3482,7840.52,46.2333,6907.29
