VP-0,CrippenMR,VP-1,MLFER_L,WPATH,Kier1,VABC,LipoaffinityIndex,ETA_Beta_s,AMR,Kier2,SP-0,SP-1,ECCEN,bpol,nAtom
23.71,156.546,14.0344,21.203,7421,32.9219,530.802,10.3712,27,177.682,14.4086,30.1393,20.7338,1554,46.9362,73
15.708,114.016,9.37846,15.139,2217,22.2031,362.354,9.07954,17.25,125.044,10.5434,20.217,14.1142,667,24.7381,49
17.0389,120.568,9.90151,15.949,2661,24.1349,388.44,9.15585,18.75,131.688,11.4215,21.7943,15.046,719,28.8406,53
16.0087,113.974,9.47812,15.121,2424,23.168,368.421,9.398,18,125.172,10.7448,21.0872,14.508,692,24.8479,49
16.8252,119.203,10.4637,16.02,2424,23.168,378.14,9.76236,17.5,131.347,10.7448,21.0872,14.508,692,25.2119,49
16.5614,117.019,9.75452,15.139,2424,23.168,376.927,10.3725,17.75,128.723,10.7448,21.0872,14.508,692,27.0343,51
18.0399,130.774,10.9611,16.668,3293,24.6837,408.791,13.5612,19.5,147.764,11.8231,22.6227,16.1698,904,28.2628,56
18.9482,136.889,11.4152,17.787,3957,26.6009,432.241,12.6144,20.75,153.035,12.6975,24.2001,17.0805,1020,29.2208,58
17.1634,122.844,10.1448,16.059,3065,25.1037,400.377,10.5513,19,135.491,12.1094,22.5014,15.508,848,27.0343,53
19.4229,134.266,11.5248,17.461,3614,27.046,439.812,12.1341,20.5,145.376,12.9919,24.0788,16.4947,904,36.6668,62
18.8371,132.152,11.6106,17.214,3609,25.6413,427.455,11.675,21,140.642,12.0299,23.493,16.5805,936,34.4804,60
21.3371,147.135,12.721,19.089,4935,29.97,485.4,13.2181,22.5,157.698,15.1235,26.2001,17.9779,1175,42.7928,70
19.3371,135.788,11.8177,17.906,3957,26.6009,438.452,11.3052,22,147.543,12.6975,24.2001,17.0805,1020,36.2336,62
20.2843,140.415,12.1902,17.935,4337,27.5625,455.748,12.3095,22.75,152.838,12.9018,25.0703,17.4744,1105,39.74,65
23.3782,163.881,14.3235,21.082,7184,31.9611,528.358,15.1903,26.25,181.589,15.5266,28.8903,20.53,1610,44.1128,75
23.5937,165.637,14.288,21.528,7114,31.9611,528.358,15.2333,26.25,181.707,15.0597,29.0535,20.4407,1604,44.1128,75
19.4482,141.652,11.6652,19.302,4395,27.5625,443.238,12.6275,21.75,155.678,13.3752,24.9072,17.5637,1111,30.974,60
15.9693,113.558,9.41379,14.97,2424,23.168,362.552,8.21813,18.5,121.658,10.7448,21.0872,14.508,692,26.7639,49
14.4841,103.532,8.66409,13.725,1709,20.28,327.675,8.69692,16.25,114.003,9.21202,18.8028,13.1522,527,22.6615,44
15.67,114.195,9.1761,14.447,2076,22.68,365.92,10.3193,15.75,125.284,11.4075,19.9325,13.5797,602,25.0086,50
17.3835,122.792,10.4138,16.04,3065,25.1037,397.144,9.06649,19.5,129.269,12.1094,22.5014,15.508,848,31.1368,55
16.9996,120.152,9.83718,15.798,2661,24.1349,382.571,7.96845,19.25,128.173,11.4215,21.7943,15.046,719,30.7566,53
13.4645,88.414,8.35778,10.362,740,16.3719,287.488,9.41188,10.75,92.5952,7.31986,14.5876,9.63619,264,28.517,44
14.3871,92.054,8.76847,10.838,847,17.3554,304.784,10.0245,11.25,96.8772,7.51301,15.4578,10.03,298,30.7034,47
