SMILES,hERG,VP-0,CrippenMR,VP-1,MLFER_L,WPATH,Kier1,VABC,LipoaffinityIndex,ETA_Beta_s,AMR,Kier2,SP-0,SP-1,ECCEN,bpol,nAtom
Oc1ccc2O[C@H]([C@H](Sc2c1)C3CCCC3)c4ccc(OCCN5CCCCC5)cc4,1,18.98735,122.6,12.75563,16.311,3011,22.77551,414.7275,11.83095,19.5,126.1188,10.95052,21.04539,15.25915,912,44.16783,64
Oc1ccc2O[C@H]([C@H](Sc2c1)C3CCCCCC3)c4ccc(OCCN5CCCCC5)cc4,1,20.40156,131.834,13.75563,17.309,3516,24.68371,449.3194,13.14997,20.5,131.942,12.3008,22.45961,16.25915,976,48.54066,70
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(OCCN5CCCCC5)cc4,1,19.33818,133.3328,12.43945,17.662,3542,24.68371,422.0043,10.57718,20.75,139.9304,11.82314,22.62275,16.153,977,39.795,62
Oc1ccc2O[C@H]([C@@H](CC3CCCCC3)Sc2c1)c4ccc(OCCN5CCCCC5)cc4,1,20.40156,131.834,13.7388,17.309,3594,24.68371,449.3194,13.21277,20.5,133.4822,12.3008,22.45961,16.24232,983,48.54066,70
Oc1ccc2O[C@H]([C@@H](Cc3ccccc3)Sc2c1)c4ccc(OCCN5CCCCC5)cc4,1,19.67543,130.788,12.77829,17.334,3594,24.68371,430.5101,12.48969,20.5,143.1903,12.3008,22.45961,16.24232,983,41.98142,64
Oc1ccc2O[C@H]([C@H](Sc2c1)c3ccncc3)c4ccc(OCCN5CCCCC5)cc4,1,18.83818,123.054,12.15489,16.94,3262,23.7284,406.9149,10.89272,20.5,134.7554,11.62016,21.7525,15.75915,944,40.0218,60
Oc1ccc(cc1)C2=Cc3cc(O)ccc3C24Cc5ccc(OCCN6CCCCC6)cc5C4,1,19.4647,135.9638,12.42769,17.943,3599,24.3432,431.6001,12.61381,21.25,142.3273,10.40074,23.12275,16.60412,1001,37.78542,65
Oc1ccc2O[C@H]([C@H](Sc2c1)c3occc3)c4ccc(OCCN5CCCCC5)cc4,1,18.22187,119.954,11.78965,15.954,3011,22.77551,390.0488,10.02391,20,129.4149,10.95052,21.04539,15.25915,912,39.52459,58
Oc1ccc(cc1)C2=Cc3cc(O)ccc3C24Cc5ccccc5C4,0,13.73684,100.1778,8.575529,13.535,1324,17.12247,303.0977,9.243204,15,110.8989,6.557851,17.0183,12.15463,447,19.67773,43
Oc1ccc(cc1)C2=Cc3cc(O)ccc3C24C(=O)c5ccccc5C4=O,0,14.13913,102.0331,8.569564,14.775,1546,18.99272,315.4052,6.100094,16.5,112.3889,7.052951,18.75878,13.02975,477,17.2209,41
Oc1ccc(cc1)C2=Cc3cc(O)ccc3C24C(=O)c5ccc(OCCN6CCCCC6)cc5C4=O,0,19.86699,137.8191,12.42173,19.183,3980,26.23438,443.9076,9.171051,22.75,143.8173,10.87342,24.86323,17.47924,1045,35.32859,63
Oc1cccc(c1)C2=Cc3cc(O)ccc3C24Cc5ccccc5C4,0,13.73684,100.1778,8.575529,13.535,1306,17.12247,303.0977,9.178489,15,110.8989,6.557851,17.0183,12.15463,407,19.67773,43
CC(C)(C)[C@H]1Sc2cc(O)ccc2O[C@H]1c3ccc(OCCN4CCCCC4)cc3,1,19.08157,120.097,11.89448,15.272,2766,23.16804,409.788,11.65388,18.5,127.716,10.29244,21.13962,14.398,851,44.16783,63
Oc1ccc2O[C@H]([C@H](Sc2c1)C3CCCCC3)c4ccc(OCCN5CCCCC5)cc4,1,19.69445,127.217,13.25563,16.81,3262,23.7284,432.0235,12.49046,20,129.0304,11.62016,21.7525,15.75915,944,46.35425,67
Oc1ccc2O[C@H]([C@H](Sc2c1)c3cccnc3)c4ccc(OCCN5CCCCC5)cc4,1,18.83818,123.054,12.15489,16.94,3262,23.7284,406.9149,10.84736,20.5,134.7554,11.62016,21.7525,15.75915,944,40.0218,60
CC(C)C[C@H]1Sc2cc(O)ccc2O[C@H]1c3ccc(OCCN4CCCCC4)cc3,1,18.86603,120.097,12.077,15.456,2818,23.16804,409.788,11.56875,18.5,127.3088,11.22765,20.92407,14.58052,855,44.16783,63
Oc1ccc(C[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(OCCN5CCCCC5)cc4)cc1,1,20.04529,138.8618,12.91258,18.161,3905,25.64127,439.3003,11.23729,21.25,144.7958,12.49704,23.32985,16.63616,1044,41.98142,65
CC(C)[C@H]1Sc2cc(O)ccc2O[C@H]1c3ccc(OCCN4CCCCC4)cc3,1,18.15892,115.48,11.59384,14.957,2574,22.20313,392.492,10.9249,18,122.857,10.54339,20.21697,14.09736,824,41.98142,60
Oc1cccc(c1)C2=Cc3cc(O)ccc3C24C(=O)c5ccccc5C4=O,0,14.13913,102.0331,8.569564,14.775,1526,18.99272,315.4052,6.063253,16.5,112.3889,7.052951,18.75878,13.02975,433,17.2209,41
Oc1ccc2O[C@H]([C@H](Sc2c1)c3cccs3)c4ccc(OCCN5CCCCC5)cc4,1,19.03836,119.954,12.6693,16.745,3011,22.77551,399.7676,10.33277,19.5,135.5893,10.95052,21.04539,15.25915,912,39.88859,58
