SMILES,BCUTc-1l,SsOH,maxHsOH,MLFER_A,minsOH,minHsOH,nHsOH,maxsOH,nsOH,SHsOH
COc1cc(OC)cc(\C=C\c2ccc(OS(=O)(=O)[C@@H]3C[C@@H]4O[C@H]3C(=C4c5ccc(O)cc5)c6ccc(O)cc6)cc2)c1,-0.3639,19.6398,0.51428,1.089,9.79379,0.50522,2,9.84596,2,1.0195
OC(=O)\C=C\c1ccc(cc1)C2=C(CCOc3ccccc23)c4ccc(O)cc4,-0.3606,18.5105,0.70004,1.134,8.82807,0.53468,2,9.68242,2,1.23471
COc1ccc2C(=C(CCOc2c1)c3ccc(O)cc3)c4ccc(\C=C\C(=O)O)cc4,-0.3606,18.5868,0.69559,1.134,8.86058,0.52876,2,9.7262,2,1.22435
OC(=O)\C=C\c1ccc(cc1)C2=C(CCOc3cc(F)ccc23)c4ccc(O)cc4,-0.3606,18.4911,0.70259,1.134,8.81984,0.53815,2,9.67128,2,1.24074
OC(=O)\C=C\c1ccc(cc1)C2=C(CCSc3cc(F)ccc23)c4ccc(O)cc4,-0.3605,18.5461,0.69461,1.134,8.83964,0.52398,2,9.70649,2,1.21859
CC(=O)\C=C\c1ccc(cc1)C2=C(CCOc3cc(F)ccc23)c4ccc(O)cc4,-0.3608,9.68906,0.53371,0.546,9.68906,0.53371,1,9.68906,1,0.53371
Oc1ccc(cc1)C2=C(c3ccc(\C=C\c4ccccc4)cc3)c5ccc(F)cc5OCC2,-0.3605,9.75638,0.52192,0.546,9.75638,0.52192,1,9.75638,1,0.52192
Oc1ccc(cc1)C2=C(c3ccc(\C=C\C(=O)c4ccccc4)cc3)c5ccc(F)cc5OCC2,-0.3608,9.76182,0.52145,0.546,9.76182,0.52145,1,9.76182,1,0.52145
OC(=O)\C=C\C=C\c1ccc(cc1)C2=C(CCOc3cc(F)ccc23)c4ccc(O)cc4,-0.3606,18.3774,0.72724,1.134,8.67216,0.53164,2,9.70527,2,1.25888
CCN(CC)C(=O)\C=C\c1ccc(cc1)C2=C(CCOc3cc(F)ccc23)c4ccc(O)cc4,-0.3605,9.7519,0.52119,0.546,9.7519,0.52119,1,9.7519,1,0.52119
Oc1ccc(cc1)C2=C(c3ccc(\C=C\C(=O)N4CCCC4)cc3)c5ccc(F)cc5OCC2,-0.3605,9.75536,0.52119,0.546,9.75536,0.52119,1,9.75536,1,0.52119
CCN(CC)CCNC(=O)\C=C\c1ccc(cc1)C2=C(CCOc3cc(F)ccc23)c4ccc(O)cc4,-0.3606,9.77727,0.51648,0.759,9.77727,0.51648,1,9.77727,1,0.51648
Oc1ccc(cc1)C2=C(c3ccc(\C=C\C(=O)N4CCNCC4)cc3)c5ccc(F)cc5OCC2,-0.3606,9.76616,0.51965,0.557,9.76616,0.51965,1,9.76616,1,0.51965
CN1CCN(CC1)C(=O)\C=C\c2ccc(cc2)C3=C(CCOc4cc(F)ccc34)c5ccc(O)cc5,-0.3606,9.77879,0.51688,0.546,9.77879,0.51688,1,9.77879,1,0.51688
Oc1ccc(cc1)C2=C(c3ccc(\C=C\C(=O)N4CCN(Cc5ccccc5)CC4)cc3)c6ccc(F)cc6OCC2,-0.3606,9.83324,0.50709,0.546,9.83324,0.50709,1,9.83324,1,0.50709
Cc1ccc(cc1)N2CCN(CC2)C(=O)\C=C\c3ccc(cc3)C4=C(CCOc5cc(F)ccc45)c6ccc(O)cc6,-0.3606,9.83437,0.50698,0.546,9.83437,0.50698,1,9.83437,1,0.50698
Oc1ccc(cc1)C2=C(c3ccc(\C=C\C(=O)Nc4ccccc4)cc3)c5ccc(F)cc5OCC2,-0.3606,9.76722,0.5211,0.455,9.76722,0.5211,1,9.76722,1,0.5211
OC(=O)COc1ccc(cc1)C2=C(CCOc3cc(F)ccc23)c4ccc(O)cc4,-0.3606,18.4455,0.72168,1.045,8.78164,0.54188,2,9.66383,2,1.26356
Oc1ccc(cc1)C2=C(c3ccc(C=O)cc3)c4ccc(F)cc4OCC2,-0.3608,9.62403,0.54678,0.546,9.62403,0.54678,1,9.62403,1,0.54678
CCC(=C(c1ccc(O)cc1)c2ccc(\C=C\C(=O)O)cc2)c3ccccc3,-0.3605,18.4953,0.70004,1.134,8.80475,0.52721,2,9.6905,2,1.22724
OC(=O)CCCOc1ccc(cc1)C2=C(CCOc3cc(F)ccc23)c4ccc(O)cc4,-0.3606,18.4399,0.69467,1.134,8.7373,0.53298,2,9.70259,2,1.22766
COc1ccc2C(=C(CCOc2c1)c3ccc(O)cc3)c4ccc(OCC(=O)O)cc4,-0.3606,18.5411,0.71469,1.045,8.82238,0.53249,2,9.71875,2,1.24718
CCCC(CCC)(c1ccc(O)c(C)c1)c2cccs2,-0.3602,9.82092,0.47156,0.546,9.82092,0.47156,1,9.82092,1,0.47156
CCCC(CCC)(c1ccc(O)c(C)c1)c2cc(C)cs2,-0.3602,9.86504,0.46156,0.546,9.86504,0.46156,1,9.86504,1,0.46156
CCCC(CCC)(c1ccc(O)c(C)c1)c2ccc([nH]2)C(=O)OCC,-0.3602,9.90675,0.4634,0.917,9.90675,0.4634,1,9.90675,1,0.4634
CCCC(CCC)(c1ccc(O)c(C)c1)c2ccc(C(=O)OCC)n2C,-0.3602,9.96395,0.45105,0.546,9.96395,0.45105,1,9.96395,1,0.45105
CCCC(CCC)(c1ccc(O)c(C)c1)c2c[nH]c3cc(OCc4ccccc4)ccc23,-0.3603,10.1149,0.42555,0.917,10.1149,0.42555,1,10.1149,1,0.42555
Oc1ccc(cc1)c2nc(Cl)c(c(Oc3ccc(OCCN4CCCC4)cc3)n2)c5ccccc5,-0.3606,9.66182,0.5544,0.546,9.66182,0.5544,1,9.66182,1,0.5544
CN(C)CCOc1ccc(Nc2nc(nc(Cl)c2c3ccccc3)c4ccc(O)cc4)cc1,-0.3606,9.64614,0.55377,0.546,9.64614,0.55377,1,9.64614,1,0.55377
COc1ccc(cc1)c2nc(Cl)c(c(Oc3ccc(OCCN4CCCC4)cc3)n2)c5ccccc5,-0.3489,0,0,0.003,0,0,0,0,0,0
COc1ccc(cc1)c2nc(Cl)cc(Oc3ccc(OCCN4CCCC4)cc3)n2,-0.3489,0,0,0.003,0,0,0,0,0,0
CCN(CC)CCOc1ccc(Oc2cc(Cl)nc(n2)c3ccc(OC)cc3)cc1,-0.3489,0,0,0.003,0,0,0,0,0,0
COc1ccc(cc1)c2nc(Cl)cc(Oc3ccc(OCCN(C)C)cc3)n2,-0.3489,0,0,0.003,0,0,0,0,0,0
CCN(CC)CCOc1ccc(Nc2cc(Cl)nc(n2)c3ccc(OC)cc3)cc1,-0.3489,0,0,0.003,0,0,0,0,0,0
COc1ccc(cc1)c2nc(Cl)cc(Nc3ccc(NC(=O)CN4CCCC4)cc3)n2,-0.3488,0,0,-0.243,0,0,0,0,0,0
CO[C@H]1C[C@H](C)CC2=C(NC\C=C\CCC[C@@H]3C[C@H]4[C@@H]5CCc6cc(O)ccc6[C@H]5CC[C@]4(C)[C@H]3O)C(=O)C=C(NC(=O)\C(=C\C=C/[C@H](OC)[C@@H](OC(=O)N)\C(=C\[C@H](C)[C@H]1O)\C)\C)C2=O,-0.3921,33.292,0.42149,2.288,10.076,-0.0111,3,11.7072,3,0.50029
CO[C@H]1C[C@H](C)CC2=C(NCC#CCC[C@@H]3C[C@H]4[C@@H]5CCc6cc(O)ccc6[C@H]5CC[C@]4(C)[C@H]3O)C(=O)C=C(NC(=O)\C(=C\C=C/[C@H](OC)[C@@H](OC(=O)N)\C(=C\[C@H](C)[C@H]1O)\C)\C)C2=O,-0.3921,33.2836,0.42412,2.288,10.0759,0.00144,3,11.7027,3,0.5187
C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@]2(O)C#CC(=O)OCC5CCC#C\C=C/C#CC5,-0.3766,21.6112,0.46151,0.891,9.90582,0.05008,2,11.7054,2,0.51159
