SMILES,HOB,BCUTc-1l,SsOH,maxHsOH,MLFER_A,minsOH,minHsOH,nHsOH,maxsOH,nsOH,SHsOH
Oc1ccc2O[C@H]([C@H](Sc2c1)C3CCCC3)c4ccc(OCCN5CCCCC5)cc4,0,-0.36053,9.968948,0.469126,0.546,9.968948,0.469126,1,9.968948,1,0.469126
Oc1ccc2O[C@H]([C@H](Sc2c1)C3CCCCCC3)c4ccc(OCCN5CCCCC5)cc4,0,-0.36053,10.05895,0.449126,0.546,10.05895,0.449126,1,10.05895,1,0.449126
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(OCCN5CCCCC5)cc4,0,-0.36138,19.73039,0.516534,1.089,9.752886,0.480713,2,9.977508,2,0.997247
Oc1ccc2O[C@H]([C@@H](CC3CCCCC3)Sc2c1)c4ccc(OCCN5CCCCC5)cc4,0,-0.36053,10.02503,0.456486,0.546,10.02503,0.456486,1,10.02503,1,0.456486
Oc1ccc2O[C@H]([C@@H](Cc3ccccc3)Sc2c1)c4ccc(OCCN5CCCCC5)cc4,0,-0.36053,9.993342,0.473631,0.546,9.993342,0.473631,1,9.993342,1,0.473631
Oc1ccc2O[C@H]([C@H](Sc2c1)c3ccncc3)c4ccc(OCCN5CCCCC5)cc4,0,-0.36053,9.964175,0.485713,0.546,9.964175,0.485713,1,9.964175,1,0.485713
Oc1ccc(cc1)C2=Cc3cc(O)ccc3C24Cc5ccc(OCCN6CCCCC6)cc5C4,0,-0.36139,19.94852,0.500354,1.089,9.823416,0.445364,2,10.1251,2,0.945717
Oc1ccc2O[C@H]([C@H](Sc2c1)c3occc3)c4ccc(OCCN5CCCCC5)cc4,0,-0.36054,9.910737,0.499932,0.546,9.910737,0.499932,1,9.910737,1,0.499932
Oc1ccc(cc1)C2=Cc3cc(O)ccc3C24Cc5ccccc5C4,0,-0.36139,19.58784,0.531414,1.089,9.655749,0.480938,2,9.932093,2,1.012352
Oc1ccc(cc1)C2=Cc3cc(O)ccc3C24C(=O)c5ccccc5C4=O,1,-0.36167,19.51989,0.5454,1.089,9.62585,0.498954,2,9.894041,2,1.044354
Oc1ccc(cc1)C2=Cc3cc(O)ccc3C24C(=O)c5ccc(OCCN6CCCCC6)cc5C4=O,0,-0.36167,19.88056,0.514339,1.089,9.793517,0.46338,2,10.08705,2,0.977719
Oc1cccc(c1)C2=Cc3cc(O)ccc3C24Cc5ccccc5C4,0,-0.36138,19.90493,0.480938,1.089,9.932875,0.473132,2,9.972051,2,0.954069
CC(C)(C)[C@H]1Sc2cc(O)ccc2O[C@H]1c3ccc(OCCN4CCCCC4)cc3,0,-0.36052,9.906413,0.478192,0.546,9.906413,0.478192,1,9.906413,1,0.478192
Oc1ccc2O[C@H]([C@H](Sc2c1)C3CCCCC3)c4ccc(OCCN5CCCCC5)cc4,0,-0.36053,10.01395,0.459126,0.546,10.01395,0.459126,1,10.01395,1,0.459126
Oc1ccc2O[C@H]([C@H](Sc2c1)c3cccnc3)c4ccc(OCCN5CCCCC5)cc4,0,-0.36053,9.961829,0.486886,0.546,9.961829,0.486886,1,9.961829,1,0.486886
CC(C)C[C@H]1Sc2cc(O)ccc2O[C@H]1c3ccc(OCCN4CCCCC4)cc3,0,-0.36052,9.885493,0.484751,0.546,9.885493,0.484751,1,9.885493,1,0.484751
Oc1ccc(C[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(OCCN5CCCCC5)cc4)cc1,0,-0.36138,19.65724,0.529241,1.089,9.661145,0.473631,2,9.996097,2,1.002872
CC(C)[C@H]1Sc2cc(O)ccc2O[C@H]1c3ccc(OCCN4CCCCC4)cc3,0,-0.36052,9.842212,0.493817,0.546,9.842212,0.493817,1,9.842212,1,0.493817
