SMILES,WTPT-5,nHBAcc_Lipinski,ETA_BetaP_s,WTPT-3,minHBa,ETA_dEpsilon_C,ETA_dEpsilon_A,ETA_Epsilon_4,ETA_Epsilon_1,TopoPSA,MLFER_S,nHBAcc,nN,maxsssCH,ETA_EtaP_F,ETA_Eta_F_L
COc1cc(OC)cc(\C=C\c2ccc(OS(=O)(=O)[C@@H]3C[C@@H]4O[C@H]3C(=C4c5ccc(O)cc5)c6ccc(O)cc6)cc2)c1,0,8,0.62791,25.4645,5.32694,-0.0891,0.17875,0.53366,0.62329,119.9,3.627,3,0,0,1.2586,11.6917
OC(=O)\C=C\c1ccc(cc1)C2=C(CCOc3ccccc23)c4ccc(O)cc4,0,4,0.59483,10.4413,5.99681,-0.0634,0.15611,0.50657,0.59932,66.76,2.523,2,0,0,1.10964,8.32225
COc1ccc2C(=C(CCOc2c1)c3ccc(O)cc3)c4ccc(\C=C\C(=O)O)cc4,0,5,0.60484,13.2546,5.36923,-0.0739,0.16376,0.51644,0.60629,75.99,2.646,2,0,0,1.139,8.80688
OC(=O)\C=C\c1ccc(cc1)C2=C(CCOc3cc(F)ccc23)c4ccc(O)cc4,0,4,0.6,12.992,5.83764,-0.085,0.18737,0.5279,0.63022,66.76,2.536,2,0,0,1.14842,8.57671
OC(=O)\C=C\c1ccc(cc1)C2=C(CCSc3cc(F)ccc23)c4ccc(O)cc4,0,3,0.58333,12.992,-1.3609,-0.078,0.17716,0.52086,0.62002,82.83,2.54,2,0,0,1.08191,7.99358
CC(=O)\C=C\c1ccc(cc1)C2=C(CCOc3cc(F)ccc23)c4ccc(O)cc4,0,3,0.59167,10.6004,5.86542,-0.0683,0.15938,0.51115,0.60224,46.53,2.626,1,0,0,1.12272,8.42458
Oc1ccc(cc1)C2=C(c3ccc(\C=C\c4ccccc4)cc3)c5ccc(F)cc5OCC2,0,2,0.59091,8.20902,5.92554,-0.0436,0.13794,0.48866,0.58299,29.46,2.581,0,0,0,1.15302,9.66068
Oc1ccc(cc1)C2=C(c3ccc(\C=C\C(=O)c4ccccc4)cc3)c5ccc(F)cc5OCC2,0,3,0.59286,10.7641,5.90746,-0.0582,0.15592,0.50249,0.60025,46.53,3.052,1,0,0,1.20486,10.2658
OC(=O)\C=C\C=C\c1ccc(cc1)C2=C(CCOc3cc(F)ccc23)c4ccc(O)cc4,0,4,0.59375,12.9779,5.8672,-0.0783,0.17817,0.52053,0.6204,66.76,2.636,2,0,0,1.15933,9.17671
CCN(CC)C(=O)\C=C\c1ccc(cc1)C2=C(CCOc3cc(F)ccc23)c4ccc(O)cc4,3.1973,4,0.60294,13.9252,1.76508,-0.0657,0.13921,0.50731,0.58088,49.77,3.049,2,1,0,1.11105,8.85777
Oc1ccc(cc1)C2=C(c3ccc(\C=C\C(=O)N4CCCC4)cc3)c5ccc(F)cc5OCC2,3.33439,4,0.61765,14.0887,1.87619,-0.0677,0.14556,0.51237,0.59024,49.77,3.024,2,1,0,1.09274,8.81404
CCN(CC)CCNC(=O)\C=C\c1ccc(cc1)C2=C(CCOc3cc(F)ccc23)c4ccc(O)cc4,6.18707,5,0.60811,16.9243,2.25883,-0.0657,0.13068,0.50668,0.57163,61.8,3.212,3,2,0,1.08649,9.31184
Oc1ccc(cc1)C2=C(c3ccc(\C=C\C(=O)N4CCNCC4)cc3)c5ccc(F)cc5OCC2,6.37855,5,0.62857,17.1427,1.84494,-0.0725,0.14945,0.51684,0.59378,61.8,3.085,3,2,0,1.11229,9.25526
CN1CCN(CC1)C(=O)\C=C\c2ccc(cc2)C3=C(CCOc4cc(F)ccc34)c5ccc(O)cc5,6.59789,5,0.63194,17.3635,1.87619,-0.07,0.14237,0.51396,0.58637,53.01,3.272,3,2,0,1.11649,9.4247
Oc1ccc(cc1)C2=C(c3ccc(\C=C\C(=O)N4CCN(Cc5ccccc5)CC4)cc3)c6ccc(F)cc6OCC2,6.90265,5,0.625,17.6767,1.90545,-0.0592,0.13536,0.50402,0.58019,53.01,3.698,3,2,0,1.16312,11.3436
Cc1ccc(cc1)N2CCN(CC2)C(=O)\C=C\c3ccc(cc3)C4=C(CCOc5cc(F)ccc45)c6ccc(O)cc6,6.93142,5,0.625,17.7062,1.89473,-0.0592,0.13536,0.50402,0.58019,53.01,3.646,3,2,0,1.16941,11.2633
Oc1ccc(cc1)C2=C(c3ccc(\C=C\C(=O)Nc4ccccc4)cc3)c5ccc(F)cc5OCC2,3.03811,4,0.60417,13.7895,2.83012,-0.063,0.15957,0.50698,0.60357,58.56,3.538,2,1,0,1.21127,10.5872
OC(=O)COc1ccc(cc1)C2=C(CCOc3cc(F)ccc23)c4ccc(O)cc4,0,5,0.61667,16.0128,5.22664,-0.1028,0.20301,0.54562,0.64587,75.99,2.554,2,0,0,1.13562,8.47893
Oc1ccc(cc1)C2=C(c3ccc(C=O)cc3)c4ccc(F)cc4OCC2,0,3,0.60185,10.6796,5.81415,-0.0781,0.17905,0.5221,0.62305,46.53,2.55,1,0,0,1.11075,7.83111
CCC(=C(c1ccc(O)cc1)c2ccc(\C=C\C(=O)O)cc2)c3ccccc3,0,3,0.5625,7.31002,8.80475,-0.0475,0.13,0.4875,0.57,57.53,2.212,2,0,0,1.0958,7.96426
OC(=O)CCCOc1ccc(cc1)C2=C(CCOc3cc(F)ccc23)c4ccc(O)cc4,0,5,0.60938,16.0438,5.65182,-0.0944,0.18046,0.53664,0.62268,75.99,2.621,2,0,0,1.09377,8.5035
COc1ccc2C(=C(CCOc2c1)c3ccc(O)cc3)c4ccc(OCC(=O)O)cc4,0,6,0.62097,16.2755,5.27424,-0.0904,0.17823,0.53288,0.62076,85.22,2.664,2,0,0,1.12637,8.7091
CCCC(CCC)(c1ccc(O)c(C)c1)c2cccs2,0,1,0.5375,5.54705,-0.9311,-0.0294,0.06737,0.46728,0.5053,48.47,1.074,0,0,0,0.67299,3.75166
CCCC(CCC)(c1ccc(O)c(C)c1)c2cc(C)cs2,0,1,0.53571,5.55556,-0.9786,-0.0278,0.063,0.4655,0.50071,48.47,1.05,0,0,0,0.66309,3.79226
CCCC(CCC)(c1ccc(O)c(C)c1)c2ccc([nH]2)C(=O)OCC,3.11916,4,0.58,11.0101,3.30382,-0.0615,0.0982,0.49844,0.53519,62.32,1.702,3,1,0,0.81667,4.89865
CCCC(CCC)(c1ccc(O)c(C)c1)c2ccc(C(=O)OCC)n2C,3.30764,4,0.58654,11.1949,1.97768,-0.0587,0.09298,0.49552,0.52982,51.46,1.671,3,1,0,0.83598,5.09852
CCCC(CCC)(c1ccc(O)c(C)c1)c2c[nH]c3cc(OCc4ccccc4)ccc23,3.1485,3,0.58594,8.78429,3.5152,-0.0311,0.08444,0.47333,0.52667,45.25,2.224,1,1,0,0.95572,7.51134
Oc1ccc(cc1)c2nc(Cl)c(c(Oc3ccc(OCCN4CCCC4)cc3)n2)c5ccccc5,9.67792,6,0.65,21.075,0.50226,-0.0748,0.1538,0.51911,0.59813,67.71,3.306,3,3,0,1.09895,9.53514
CN(C)CCOc1ccc(Nc2nc(nc(Cl)c2c3ccccc3)c4ccc(O)cc4)cc1,12.489,6,0.64394,20.6591,0.53853,-0.0708,0.1515,0.51274,0.59343,70.51,3.691,4,4,0,1.15592,9.58457
