SMILES,MN,WTPT-5,nHBAcc_Lipinski,ETA_BetaP_s,WTPT-3,minHBa,ETA_dEpsilon_C,ETA_dEpsilon_A,ETA_Epsilon_4,ETA_Epsilon_1,TopoPSA,MLFER_S,nHBAcc,nN,maxsssCH,ETA_EtaP_F,ETA_Eta_F_L
Oc1ccc2O[C@H]([C@H](Sc2c1)C3CCCC3)c4ccc(OCCN5CCCCC5)cc4,0,3.406628,4,0.62903,15.47144,-1.3313,-0.05631,0.09422,0.50219,0.5401,67.23,2.288,1,1,0.789991,0.66954,5.2659
Oc1ccc2O[C@H]([C@H](Sc2c1)C3CCCCCC3)c4ccc(OCCN5CCCCC5)cc4,0,3.406648,4,0.62121,15.48695,-1.37863,-0.0521,0.0859,0.49715,0.53095,67.23,2.288,1,1,0.769158,0.65237,5.2659
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(OCCN5CCCCC5)cc4,1,3.406644,5,0.62879,18.01111,-1.60835,-0.06661,0.12806,0.51167,0.57312,87.46,2.901,1,1,0.273861,0.90568,7.4627
Oc1ccc2O[C@H]([C@@H](CC3CCCCC3)Sc2c1)c4ccc(OCCN5CCCCC5)cc4,0,3.406624,4,0.62121,15.46837,-1.35087,-0.0521,0.0859,0.49715,0.53095,67.23,2.288,1,1,0.850558,0.64765,5.2659
Oc1ccc2O[C@H]([C@@H](Cc3ccccc3)Sc2c1)c4ccc(OCCN5CCCCC5)cc4,0,3.406624,4,0.62121,15.46837,-1.44969,-0.0521,0.10755,0.49715,0.5526,67.23,2.603,1,1,0.49775,0.84789,7.24809
Oc1ccc2O[C@H]([C@H](Sc2c1)c3ccncc3)c4ccc(OCCN5CCCCC5)cc4,1,6.42278,5,0.64063,18.49792,-1.53617,-0.0645,0.12399,0.50996,0.56944,80.12,2.776,2,2,0.350157,0.88025,7.30343
Oc1ccc(cc1)C2=Cc3cc(O)ccc3C24Cc5ccc(OCCN6CCCCC6)cc5C4,1,3.408154,4,0.625,11.59897,2.505419,-0.04394,0.10294,0.49176,0.55077,52.93,2.809,1,1,0,0.94883,7.81192
Oc1ccc2O[C@H]([C@H](Sc2c1)c3occc3)c4ccc(OCCN5CCCCC5)cc4,1,3.406628,5,0.64516,18.51817,-1.56459,-0.07214,0.13228,0.51802,0.57816,80.37,2.503,1,1,0.250157,0.85921,6.9953
Oc1ccc(cc1)C2=Cc3cc(O)ccc3C24Cc5ccccc5C4,0,0,2,0.6,5.081805,9.655749,-0.03382,0.11896,0.48307,0.56822,40.46,2.25,0,0,0,0.99757,6.82895
Oc1ccc(cc1)C2=Cc3cc(O)ccc3C24C(=O)c5ccccc5C4=O,1,0,4,0.61111,10.32556,9.62585,-0.07938,0.19027,0.52732,0.63821,74.6,3.192,2,0,0,1.21554,7.955
