,Features,Importance
439,MDEC-23,0.22483259316398568
10,nC,0.05728559790644346
54,C1SP2,0.04837109476460555
249,minHsOH,0.03294671786038128
286,minsOH,0.025045049820806707
419,nHBAcc,0.022610997610829766
38,BCUTc-1l,0.01792527783733534
367,LipoaffinityIndex,0.017688567041230698
354,maxssO,0.015924613121768485
432,MLogP,0.015712149328132325
22,ATSc3,0.013506203521660032
315,maxHsOH,0.013009519027546355
243,minHBint5,0.01295150614822484
39,BCUTc-1h,0.010738954961547654
445,MDEO-12,0.009869357021315596
283,minsssN,0.009360100307731172
453,MLFER_A,0.009325849417615753
491,TopoPSA,0.009323823935100305
441,MDEC-33,0.009201016356245003
77,VC-5,0.007520549667073727
391,ETA_Shape_Y,0.006969287367205941
248,minHBint10,0.006324961399892622
183,SHsOH,0.00575293435169222
182,SHBint10,0.005595769631477165
1,ALogP,0.005396049498328777
422,nHBAcc_Lipinski,0.005192109432947177
272,mindssC,0.005119535543630371
81,SPC-6,0.005091891177004032
178,SHBint6,0.0049842663460622555
502,XLogP,0.004857179402179037
140,ndssC,0.004650198489624956
238,minHBa,0.004549652164258929
309,maxHBint5,0.004486898234058288
456,MLFER_S,0.004339979384076206
396,ETA_BetaP_s,0.004274081279742113
101,CrippenLogP,0.004184792872175179
21,ATSc2,0.004184027502936542
203,SaaCH,0.004106362354364913
287,mindO,0.003953624029857981
68,VCH-5,0.003953441416735172
428,Kier3,0.003951938903527503
194,SHCsats,0.0037424160563426867
41,BCUTp-1h,0.0036809820425979627
499,WTPT-5,0.003502338145970839
244,minHBint6,0.003373752595032637
220,SsOH,0.0033624707278045933
24,ATSc5,0.003299109510163025
23,ATSc4,0.0032267667597258506
98,VP-5,0.0030302453829337364
371,MAXDN2,0.0030071979231881315
402,ETA_BetaP_ns_d,0.002877864353045707
242,minHBint4,0.0028488964954548114
84,VPC-6,0.0028424938917872918
365,hmin,0.0028221712848294773
498,WTPT-4,0.002801266116631226
40,BCUTp-1l,0.0027846275934696853
302,maxHBd,0.002779389841034098
170,SHBd,0.002743673417282975
497,WTPT-3,0.002685337739587716
51,bpol,0.0026761796051312245
366,gmin,0.0026369814910629477
427,Kier2,0.0026254501696299955
206,SdssC,0.0025842822144677077
91,SP-6,0.002569336015789583
65,SCH-7,0.0024780218255785313
386,ETA_dEpsilon_D,0.0024760260666834497
312,maxHBint8,0.0024740956697121732
236,minHBd,0.002454370389529978
336,maxsssCH,0.0024127352429241613
438,MDEC-22,0.0024017495171711548
444,MDEO-11,0.0023121604892806977
90,SP-5,0.002305989444610456
372,MAXDP2,0.0022500690023369656
245,minHBint7,0.0022168502393338867
73,SC-5,0.002210651643924623
369,MAXDP,0.002180343350698291
197,SHother,0.0021674580138777073
103,ECCEN,0.002150144752338026
352,maxsOH,0.002050702465892864
416,ETA_EtaP_B_RC,0.002045391129972692
457,MLFER_E,0.002012365811894294
454,MLFER_BH,0.0019768243655229993
264,minsCH3,0.0019696624547791775
20,ATSc1,0.0019235881534836994
370,DELS,0.001914542307514699
269,minaaCH,0.001866639692493814
2,ALogp2,0.0018567167891259924
418,fragC,0.0018365809292454384
207,SaasC,0.0018291122009368816
363,hmax,0.0018201574863755713
492,VABC,0.0018078265461037896
436,MDEC-13,0.0017926881516914538
75,VC-3,0.0017921035280282639
415,ETA_Eta_B_RC,0.0017485899157303236
368,MAXDN,0.0017214712521053902
455,MLFER_BO,0.0017003322971701747
37,BCUTw-1h,0.0016964505596813036
263,minHother,0.0016913430585088738
335,maxaaCH,0.001636804496007539
266,minssCH2,0.0016338472565316732
173,SwHBa,0.001633835512575098
338,maxdssC,0.0016250309030647176
496,WTPT-2,0.00162170640262615
260,minHCsats,0.0016133323783002313
70,VCH-7,0.0016082899764090417
80,SPC-5,0.0015941686469045598
339,maxaasC,0.0015890894353322673
177,SHBint5,0.0015869625871192618
314,maxHBint10,0.0015697402835610256
324,maxHaaCH,0.0015599895498540038
305,maxwHBa,0.0015453170365823897
192,SHaaCH,0.001539359408326962
382,ETA_Epsilon_5,0.0015230885441583843
172,SHBa,0.0015102058853799834
440,MDEC-24,0.0014985536269899594
390,ETA_Shape_P,0.0014339833203646797
364,gmax,0.001433046848733712
34,ATSp5,0.0014307420743610178
288,minssO,0.0014275142914303002
261,minHCsatu,0.0014228687572131636
25,ATSm1,0.001422096732235693
179,SHBint7,0.001412985454566799
221,SdO,0.001407893466567636
78,VC-6,0.0014071384686837319
326,maxHCsats,0.0013986568045043983
239,minwHBa,0.001394947465731913
384,ETA_dEpsilon_B,0.0013943276603146297
195,SHCsatu,0.0013807587043734068
29,ATSm5,0.001379763430018024
270,minsssCH,0.0013771300481972171
100,VP-7,0.0013671552363820046
273,minaasC,0.0013642893266331002
353,maxdO,0.0013620716833339028
96,VP-3,0.001361537904663368
304,maxHBa,0.0013486608652004328
407,ETA_EtaP_F,0.0013482687253823815
217,SsssN,0.0013472470115897795
327,maxHCsatu,0.001329970371266917
69,VCH-6,0.001322740420291558
385,ETA_dEpsilon_C,0.0013141782398459752
332,maxssCH2,0.0013136177397237556
99,VP-6,0.0013129220473267335
92,SP-7,0.001291046586012854
442,MDEC-34,0.0012479014582659667
56,C3SP2,0.0012419401403945794
435,MDEC-12,0.0012395402978925224
82,VPC-4,0.0012118288220431188
373,DELS2,0.0011984185658820454
95,VP-2,0.0011937615644646632
222,SssO,0.0011859129013971435
253,minHssNH,0.001183625708228268
188,SHaaNH,0.0011750762462646482
79,SPC-4,0.0011508021704600229
63,SCH-5,0.0011068582829899278
246,minHBint8,0.0010748704100501502
381,ETA_Epsilon_4,0.0010711608460064867
64,SCH-6,0.0010610468976374578
48,nBondsD2,0.001059489517447414
89,SP-4,0.0010352624204172552
409,ETA_EtaP_L,0.0010341018573711072
404,ETA_EtaP,0.0010333395075567506
97,VP-4,0.00102613321494042
417,FMF,0.0010201453053952825
88,SP-3,0.0010198901340341465
311,maxHBint7,0.0010194275284832605
430,nAtomP,0.0010178291433988065
411,ETA_Eta_F_L,0.00101619537883101
379,ETA_Epsilon_2,0.0010131265036444049
458,MLFER_L,0.0009772529164922192
200,SssCH2,0.0009719646575736086
437,MDEC-14,0.0009661277423482809
112,nHBint6,0.0009577718319232109
431,nAtomLAC,0.0009528053153044607
204,SsssCH,0.0009303041938032072
414,ETA_EtaP_B,0.0009203563481917567
83,VPC-5,0.0009188703910004214
400,ETA_dBetaP,0.0009161452955490603
258,minHaaCH,0.0009142030765396587
329,maxHother,0.0009065714154814098
176,SHBint4,0.0008998506000506181
398,ETA_BetaP_ns,0.000883357114438054
406,ETA_Eta_F,0.0008761823370997759
278,minssNH,0.0008758248038958005
319,maxHssNH,0.0008702699312739224
459,PetitjeanNumber,0.0008674281727879785
413,ETA_Eta_B,0.0008624277118640817
247,minHBint9,0.0008176151071267354
412,ETA_EtaP_F_L,0.0008133173746484777
30,ATSp1,0.0008045944220553262
494,MW,0.0007783468939084744
495,WTPT-1,0.0007709459491339512
76,VC-4,0.0007705318885038654
349,maxsssN,0.0007699701264396654
32,ATSp3,0.0007555707830044271
180,SHBint8,0.0007519280600841317
393,ETA_Beta,0.000748233841168674
375,ETA_AlphaP,0.0007477636314372342
26,ATSm2,0.0007464592087983145
33,ATSp4,0.0007418209175529695
